question,answer,source,focus_area
What are the treatments for Sudden Cardiac Arrest ?,"Emergency Treatment
                
Sudden cardiac arrest (SCA) is an emergency. A person having SCA needs to be treated with a defibrillator right away. This device sends an electric shock to the heart. The electric shock can restore a normal rhythm to a heart that's stopped beating.
                
To work well, defibrillation must be done within minutes of SCA. With every minute that passes, the chances of surviving SCA drop rapidly.
                
Police, emergency medical technicians, and other first responders usually are trained and equipped to use a defibrillator. Call 911 right away if someone has signs or symptoms of SCA. The sooner you call for help, the sooner lifesaving treatment can begin.
                
Automated External Defibrillators
                
Automated external defibrillators (AEDs) are special defibrillators that untrained bystanders can use. These portable devices often are found in public places, such as shopping malls, golf courses, businesses, airports, airplanes, casinos, convention centers, hotels, sports venues, and schools.
                
AEDs are programmed to give an electric shock if they detect a dangerous arrhythmia, such as ventricular fibrillation. This prevents giving a shock to someone who may have fainted but isn't having SCA.
                
You should give cardiopulmonary resuscitation (CPR) to a person having SCA until defibrillation can be done.
                
People who are at risk for SCA may want to consider having an AED at home. A 2008 study by the National Heart, Lung, and Blood Institute and the National Institutes of Health found that AEDs in the home are safe and effective.
                
Some people feel that placing these devices in homes will save many lives because many SCAs occur at home.Others note that no evidence supports the idea that home-use AEDs save more lives. These people fear that people who have AEDs in their homes will delay calling for help during an emergency. They're also concerned that people who have home-use AEDs will not properly maintain the devices or forget where they are.
                
When considering a home-use AED, talk with your doctor. He or she can help you decide whether having an AED in your home will benefit you.
                
Treatment in a Hospital
                
If you survive SCA, you'll likely be admitted to a hospital for ongoing care and treatment. In the hospital, your medical team will closely watch your heart. They may give you medicines to try to reduce the risk of another SCA.
                
While in the hospital, your medical team will try to find out what caused your SCA. If you're diagnosed with coronary heart disease, you may havepercutaneous coronary intervention, also known as coronary angioplasty,or coronary artery bypass grafting. These procedures help restore blood flow through narrowed or blocked coronary arteries.
                
Often, people who have SCA get a device called an implantable cardioverter defibrillator (ICD). This small device is surgically placed under the skin in your chest or abdomen. An ICD uses electric pulses or shocks to help control dangerous arrhythmias. (For more information, go to ""How Can Death Due to Sudden Cardiac Arrest Be Prevented?"")",NHLBI,Sudden Cardiac Arrest
How many people are affected by Tay-Sachs disease ?,"Tay-Sachs disease is very rare in the general population. The genetic mutations that cause this disease are more common in people of Ashkenazi (eastern and central European) Jewish heritage than in those with other backgrounds. The mutations responsible for this disease are also more common in certain French-Canadian communities of Quebec, the Old Order Amish community in Pennsylvania, and the Cajun population of Louisiana.",GHR,Tay-Sachs disease
How to diagnose Thalassemias ?,"Doctors diagnose thalassemias using blood tests, including a complete blood count (CBC) and special hemoglobin tests.
                
A CBC measures the amount of hemoglobin and the different kinds of blood cells, such as red blood cells, in a sample of blood. People who have thalassemias have fewer healthy red blood cells and less hemoglobin than normal in their blood. People who have alpha or beta thalassemia trait may have red blood cells that are smaller than normal.
                
Hemoglobin tests measure the types of hemoglobin in a blood sample. People who have thalassemias have problems with the alpha or beta globin protein chains of hemoglobin.
                
Moderate and severe thalassemias usually are diagnosed in early childhood. This is because signs and symptoms, including severe anemia, often occur within the first 2years of life.
                
People who have milder forms of thalassemia might be diagnosed after a routine blood test shows they have anemia. Doctors might suspect thalassemia if a person has anemia and is a member of an ethnic group that's at increased risk for thalassemias. (For more information, go to ""Who Is at Risk for Thalassemias?"")
                
Doctors also test the amount of iron in the blood to find out whether the anemia is due to iron deficiency or thalassemia. Iron-deficiency anemia occurs if the body doesn't have enough iron to make hemoglobin. The anemia in thalassemia occurs because of a problem with either the alpha globin or beta globin chains of hemoglobin, not because of a lack of iron.
                
Because thalassemias are passed from parents to children through genes, family genetic studies also can help diagnose the disorder. These studies involve taking a family medical history and doing blood tests on family members. The tests will show whether any family members have missing or altered hemoglobin genes.
                
If you know of family members who have thalassemias and you're thinking of having children, consider talking with your doctor and a genetic counselor. They can help determine your risk for passing the disorder to your children.
                
If you're expecting a baby and you and your partner are thalassemia carriers, you may want to consider prenatal testing.
                
Prenatal testing involves taking a sample of amniotic fluid or tissue from the placenta. (Amniotic fluid is the fluid in the sac surrounding a growing embryo. The placenta is the organ that attaches the umbilical cord to the mother's womb.) Tests done on the fluid or tissue can show whether your baby has thalassemia and how severe it might be.",NHLBI,Thalassemias
How to prevent Thrombocythemia and Thrombocytosis ?,"You can't prevent primary thrombocythemia. However, you can take steps to reduce your risk for complications. For example, you can control many of the risk factors for blood clots, such as high blood cholesterol, high blood pressure, diabetes, and smoking.
                
To reduce your risk, quit smoking, adopt healthy lifestyle habits, and work with your doctor to manage your risk factors.
                
It's not always possible to prevent conditions that lead to secondary thrombocytosis. But, if you have routine medical care, your doctor may detect these conditions before you develop a high platelet count.",NHLBI,Thrombocythemia and Thrombocytosis
What causes Thrombocytopenia ?,"Many factors can cause thrombocytopenia (a low platelet count). The condition can be inherited or acquired. ""Inherited"" means your parents pass the gene for the condition to you. ""Acquired"" means you aren't born with the condition, but you develop it. Sometimes the cause of thrombocytopenia isn't known.
                
In general, a low platelet count occurs because:
                
The body's bone marrow doesn't make enough platelets.
                
The bone marrow makes enough platelets, but the body destroys them or uses them up.
                
The spleen holds on to too many platelets.
                
A combination of the above factors also may cause a low platelet count.
                
The Bone Marrow Doesn't Make Enough Platelets
                
Bone marrow is the sponge-like tissue inside the bones. It contains stem cells that develop into red blood cells, white blood cells, and platelets. When stem cells are damaged, they don't grow into healthy blood cells.
                
Many conditions and factors can damage stem cells.
                
Cancer
                
Cancer, such as leukemia (lu-KE-me-ah) or lymphoma (lim-FO-ma), can damage the bone marrow and destroy blood stem cells. Cancer treatments, such as radiation and chemotherapy, also destroy the stem cells.
                
Aplastic Anemia
                
Aplastic anemia is a rare, serious blood disorder in which the bone marrow stops making enough new blood cells. This lowers the number of platelets in your blood.
                
Toxic Chemicals
                
Exposure to toxic chemicalssuch as pesticides, arsenic, and benzenecan slow the production of platelets.
                
Medicines
                
Some medicines, such as diuretics and chloramphenicol, can slow the production of platelets. Chloramphenicol (an antibiotic) rarely is used in the United States.
                
Common over-the-counter medicines, such as aspirin or ibuprofen, also can affect platelets.
                
Alcohol
                
Alcohol also slows the production of platelets. A temporary drop in the platelet count is common among heavy drinkers, especially if they're eating foods that are low in iron, vitamin B12, or folate.
                
Viruses
                
Chickenpox, mumps, rubella, Epstein-Barr virus, or parvovirus can decrease your platelet count for a while. People who have AIDS often develop thrombocytopenia.
                
Genetic Conditions
                
Some genetic conditions can cause low numbers of platelets in the blood. Examples include Wiskott-Aldrich and May-Hegglin syndromes.
                
The Body Destroys Its Own Platelets
                
A low platelet count can occur even if the bone marrow makes enough platelets. The body may destroy its own platelets due to autoimmune diseases, certain medicines, infections, surgery, pregnancy, and some conditions that cause too much blood clotting.
                
Autoimmune Diseases
                
Autoimmune diseases occur if the body's immune system mistakenly attacks healthy cells in the body. If an autoimmune disease destroys the body's platelets, thrombocytopenia can occur.
                
One example of this type of autoimmune disease is immune thrombocytopenia (ITP). ITP is a bleeding disorder in which the blood doesn't clot as it should. An autoimmune response is thought to cause most cases of ITP.
                
Normally, your immune system helps your body fight off infections and diseases. But if you have ITP, your immune system attacks and destroys its own platelets. Why this happens isn't known. (ITP also may occur if the immune system attacks your bone marrow, which makes platelets.)
                
Other autoimmune diseases that destroy platelets include lupus and rheumatoid arthritis.
                
Medicines
                
A reaction to medicine can confuse your body and cause it to destroy its platelets. Examples of medicines that may cause this to happen include quinine; antibiotics that contain sulfa; and some medicines for seizures, such as Dilantin, vancomycin, and rifampin. (Quinine is a substance often found in tonic water and nutritional health products.)
                
Heparin is a medicine commonly used to prevent blood clots. But an immune reaction may trigger the medicine to cause blood clots and thrombocytopenia. This condition is called heparin-induced thrombocytopenia (HIT). HIT rarely occurs outside of a hospital.
                
In HIT, the body's immune system attacks a substance formed by heparin and a protein on the surface of the platelets. This attack activates the platelets and they start to form blood clots.
                
Blood clots can form deep in the legs (deep vein thrombosis), or they can break loose and travel to the lungs (pulmonary embolism).
                
Infection
                
A low platelet count can occur after blood poisoning from a widespread bacterial infection. A virus, such as mononucleosis or cytomegalovirus, also can cause a low platelet count.
                
Surgery
                
Platelets can be destroyed when they pass through man-made heart valves, blood vessel grafts, or machines and tubing used for blood transfusions or bypass surgery.
                
Pregnancy
                
About 5 percent of pregnant women develop mild thrombocytopenia when they're close to delivery. The exact cause isn't known for sure.
                
Rare and Serious Conditions That Cause Blood Clots
                
Some rare and serious conditions can cause a low platelet count. Two examples are thrombotic thrombocytopenic purpura (TTP) and disseminated intravascular coagulation (DIC).
                
TTP is a rare blood condition. It causes blood clots to form in the body's small blood vessels, including vessels in the brains, kidneys, and heart.
                
DIC is a rare complication of pregnancy, severe infections, or severe trauma. Tiny blood clots form suddenly throughout the body.
                
In both conditions, the blood clots use up many of the blood's platelets.
                
The Spleen Holds On to Too Many Platelets
                
Usually, one-third of the body's platelets are held in the spleen. If the spleen is enlarged, it will hold on to too many platelets. This means that not enough platelets will circulate in the blood.
                
An enlarged spleen often is due to cancer or severe liver disease, such as cirrhosis (sir-RO-sis). Cirrhosis is a disease in which the liver is scarred. This prevents it from working well.
                
An enlarged spleen also might be due to a bone marrow condition, such as myelofibrosis (MI-eh-lo-fi-BRO-sis). With this condition, the bone marrow is scarred and isn't able to make blood cells.",NHLBI,Thrombocytopenia
What is (are) Thrombotic Thrombocytopenic Purpura ?,"Thrombotic thrombocytopenic purpura (TTP) is a rare blood disorder. In TTP, blood clots form in small blood vessels throughout the body.
                
The clots can limit or block the flow of oxygen-rich blood to the body's organs, such as the brain, kidneys, and heart. As a result, serious health problems can develop.
                
The increased clotting that occurs in TTP also uses up platelets (PLATE-lets) in the blood. Platelets are blood cell fragments that help form blood clots. These cell fragments stick together to seal small cuts and breaks on blood vessel walls and stop bleeding.
                
With fewer platelets available in the blood, bleeding problems can occur. People who have TTP may bleed inside their bodies, underneath the skin, or from the surface of the skin. When cut or injured, they also may bleed longer than normal.
                
""Thrombotic"" (throm-BOT-ik) refers to the blood clots that form. ""Thrombocytopenic"" (throm-bo-cy-toe-PEE-nick) means the blood has a lower than normal number of platelets. ""Purpura"" (PURR-purr-ah) refers to purple bruises caused by bleeding under the skin.
                
Bleeding under the skin also can cause tiny red or purple dots on the skin. These pinpoint-sized dots are called petechiae (peh-TEE-kee-ay). Petechiae may look like a rash.
                
Purpura and Petechiae
                

                
TTP also can cause red blood cells to break apart faster than the body can replace them. This leads to hemolytic anemia (HEE-moh-lit-ick uh-NEE-me-uh)a rare form of anemia. Anemia is a condition in which the body has a lower than normal number of red blood cells.
                
A lack of activity in the ADAMTS13 enzyme (a type of protein in the blood) causes TTP. The ADAMTS13 gene controls the enzyme, which is involved in blood clotting. The enzyme breaks up a large protein called von Willebrand factor that clumps together with platelets to form blood clots.
                
Types of Thrombotic Thrombocytopenic Purpura
                
The two main types of TTP are inherited and acquired. ""Inherited"" means the condition is passed from parents to children through genes. This type of TTP mainly affects newborns and children.
                
In inherited TTP, the ADAMTS13 gene is faulty and doesn't prompt the body to make a normal ADAMTS13 enzyme. As a result, enzyme activity is lacking or changed.
                
Acquired TTP is the more common type of the disorder. ""Acquired"" means you aren't born with the disorder, but you develop it. This type of TTP mostly occurs in adults, but it can affect children.
                
In acquired TTP, the ADAMTS13 gene isn't faulty. Instead, the body makes antibodies (proteins) that block the activity of the ADAMTS13 enzyme.
                
It's not clear what triggers inherited and acquired TTP, but some factors may play a role. These factors may include:
                
Some diseases and conditions, such as pregnancy, cancer, HIV, lupus, and infections
                
Some medical procedures, such as surgery and blood and marrow stem cell transplant
                
Some medicines, such as chemotherapy, ticlopidine, clopidogrel, cyclosporine A, and hormone therapy and estrogens
                
Quinine, which is a substance often found in tonic water and nutritional health products
                
If you have TTP, you may sometimes hear it referred to as TTPHUS. HUS, or hemolytic-uremic syndrome, is a disorder that resembles TTP, but is more common in children. Kidney problems also tend to be worse in HUS. Although some researchers think TTP and HUS are two forms of a single syndrome, recent evidence suggests that each has different causes.
                
Outlook
                
TTP is a rare disorder. It can be fatal or cause lasting damage, such as brain damage or a stroke, if it's not treated right away.
                
TTP usually occurs suddenly and lasts for days or weeks, but it can continue for months. Relapses (or flareups) can occur in up to 60 percent of people who have the acquired type of TTP. Many people who have inherited TTP have frequent flareups that need to be treated.
                
Treatments for TTP include infusions of fresh frozen plasma and plasma exchange, also called plasmapheresis (PLAZ-ma-feh-RE-sis). These treatments have greatly improved the outlook of the disorder.",NHLBI,Thrombotic Thrombocytopenic Purpura
What is (are) Thymoma and Thymic Carcinoma ?,"Key Points
                    - Thymoma and thymic carcinoma are diseases in which malignant (cancer) cells form on the outside surface of the thymus.    -  Thymoma is linked with myasthenia gravis and other autoimmune diseases.    - Signs and symptoms of thymoma and thymic carcinoma include a cough and chest pain.     - Tests that examine the thymus are used to detect (find) thymoma or thymic carcinoma.    - Thymoma and thymic carcinoma are usually diagnosed, staged, and treated during surgery.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Thymoma and thymic carcinoma are diseases in which malignant (cancer) cells form on the outside surface of the thymus.
                    The thymus, a small organ that lies in the upper chest under the breastbone, is part of the lymph system. It makes white blood cells, called lymphocytes, that protect the body against infections.     There are different types of tumors of the thymus. Thymomas and thymic carcinomas are rare tumors of the cells that are on the outside surface of the thymus. The tumor cells in a thymoma look similar to the normal cells of the thymus, grow slowly, and rarely spread beyond the thymus. On the other hand, the tumor cells in a thymic carcinoma look very different from the normal cells of the thymus, grow more quickly, and have usually spread to other parts of the body when the cancer is found. Thymic carcinoma is more difficult to treat than thymoma.   For information on thymoma and thymic carcinoma in children, see the PDQ summary on Unusual Cancers of Childhood Treatment.
                
                
                    Thymoma is linked with myasthenia gravis and other autoimmune diseases.
                    People with thymoma often have autoimmune diseases as well. These diseases cause the immune system to attack healthy tissue and organs. They include:         -  Myasthenia gravis.    -  Acquired pure red cell aplasia.    -  Hypogammaglobulinemia.    -  Polymyositis.    -  Lupus erythematosus.    -  Rheumatoid arthritis.    -  Thyroiditis.    -  Sjgren syndrome.",CancerGov,Thymoma and Thymic Carcinoma
What are the symptoms of Tietz syndrome ?,"What are the signs and symptoms of Tietz syndrome? The signs and symptoms of Tietz syndrome are usually present at birth and may include: Severe, bilateral (both ears) sensorineural hearing loss Fair skin Light-colored hair Blue eyes The Human Phenotype Ontology provides the following list of signs and symptoms for Tietz syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the anterior chamber 90% Aplasia/Hypoplasia of the eyebrow 90% Generalized hypopigmentation 90% Hypopigmentation of hair 90% Autosomal dominant inheritance - Bilateral sensorineural hearing impairment - Blue irides - Congenital sensorineural hearing impairment - Hypopigmentation of the fundus - White eyebrow - White eyelashes - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Tietz syndrome
What are the symptoms of Tourette syndrome ?,"What are the signs and symptoms of Tourette syndrome? The early symptoms of Tourette syndrome are almost always noticed first in childhood, with the average onset between the ages of 3 and 9 years. Although the symptoms of Tourette syndrome vary from person to person and range from very mild to severe, the majority of cases fall into the mild category. The Human Phenotype Ontology provides the following list of signs and symptoms for Tourette syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aggressive behavior - Attention deficit hyperactivity disorder - Autosomal dominant inheritance - Echolalia - Motor tics - Obsessive-compulsive behavior - Phonic tics - Self-mutilation - Sleep disturbance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Tourette syndrome
what research (or clinical trials) is being done for Transitional Cell Cancer of the Renal Pelvis and Ureter ?,"New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI Web site.     Fulguration     Fulguration is a surgical procedure that destroys tissue using an electric current. A tool with a small wire loop on the end is used to remove the cancer or to burn away the tumor with electricity.       Segmental resection of the renal pelvis    This is a surgical procedure to remove localized cancer from the renal pelvis without removing the entire kidney. Segmental resection may be done to save kidney function when the other kidney is damaged or has already been removed.        Laser surgery    A laser beam (narrow beam of intense light) is used as a knife to remove the cancer. A laser beam can also be used to kill the cancer cells. This procedure may also be called or laser fulguration.       Regional chemotherapy and regional biologic therapy     Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping the cells from dividing. Biologic therapy is a treatment that uses the patient's immune system to fight cancer; substances made by the body or made in a laboratory are used to boost, direct, or restore the body's natural defenses against cancer. Regional treatment means the anticancer drugs or biologic substances are placed directly into an organ or a body cavity such as the abdomen, so the drugs will affect cancer cells in that area. Clinical trials are studying chemotherapy or biologic therapy using drugs placed directly into the renal pelvis or the ureter.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",CancerGov,Transitional Cell Cancer of the Renal Pelvis and Ureter
How many people are affected by Treacher Collins syndrome ?,"This condition affects an estimated 1 in 50,000 people.",GHR,Treacher Collins syndrome
Is Troyer syndrome inherited ?,"How is Troyer syndrome inherited? Troyer syndrome is inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. Affected people inherit one mutated copy of the gene from each parent, who is referred to as a carrier. Carriers of an autosomal recessive condition typically do not have any signs or symptoms (they are unaffected). When 2 carriers of an autosomal recessive condition have children, each child has: a 25% (1 in 4) chance to be affected a 50% (1 in 2) chance to be an unaffected carrier like each parent a 25% chance to be unaffected and not be a carrier.",GARD,Troyer syndrome
How many people are affected by Turner syndrome ?,"This condition occurs in about 1 in 2,500 newborn girls worldwide, but it is much more common among pregnancies that do not survive to term (miscarriages and stillbirths).",GHR,Turner syndrome
What are the complications of Ulcerative Colitis ?,"Complications of ulcerative colitis can include
                
- rectal bleedingwhen ulcers in the intestinal lining open and bleed. Rectal bleeding can cause anemia, which health care providers can treat with diet changes and iron supplements. People who have a large amount of bleeding in the intestine over a short period of time may require surgery to stop the bleeding. Severe bleeding is a rare complication of ulcerative colitis.  - dehydration and malabsorbtion, which occur when the large intestine is unable to absorb fluids and nutrients because of diarrhea and inflammation. Some people may need IV fluids to replace lost nutrients and fluids.  - changes in bones. Some corticosteroid medications taken to treat ulcerative colitis symptoms can cause      - osteoporosisthe loss of bone    - osteopenialow bone density
                
Health care providers will monitor people for bone loss and can recommend calcium and vitamin D supplements and medications to help prevent or slow bone loss.
                
- inflammation in other areas of the body. The immune system can trigger inflammation in the      - joints    - eyes    - skin    - liver
                
Health care providers can treat inflammation by adjusting medications or prescribing new medications.
                
- megacolona serious complication that occurs when inflammation spreads to the deep tissue layers of the large intestine. The large intestine swells and stops working. Megacolon can be a life-threatening complication and most often requires surgery. Megacolon is a rare complication of ulcerative colitis.
                

                
Ulcerative Colitis and Colon Cancer   People with ulcerative colitis may be more likely to develop colon cancer when   - ulcerative colitis affects the entire colon   - a person has ulcerative colitis for at least 8 years   - inflammation is ongoing   - people also have primary sclerosing cholangitis, a condition that affects the liver   - a person is male    People who receive ongoing treatment and remain in remission may reduce their chances of developing colon cancer.   People with ulcerative colitis should talk with their health care provider about how often they should get screened for colon cancer. Screening can include colonoscopy with biopsies or a special dye spray called chromoendoscopy.   Health care providers may recommend colonoscopy every 1 to 3 years for people with ulcerative colitis who have   - the disease in one-third or more or of their colon   - had ulcerative colitis for 8 years    Such screening does not reduce a person's chances of developing colon cancer. Instead, screening can help diagnose cancer early and improve chances for recovery.   Surgery to remove the entire colon eliminates the risk of colon cancer.",NIDDK,Ulcerative Colitis
What is (are) Urethral Cancer ?,"Key Points
                    - Urethral cancer is a disease in which malignant (cancer) cells form in the tissues of the urethra.    - There are different types of urethral cancer that begin in cells that line the urethra.     - A history of bladder cancer can affect the risk of urethral cancer.    - Signs of urethral cancer include bleeding or trouble with urination.     - Tests that examine the urethra and bladder are used to detect (find) and diagnose urethral cancer.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Urethral cancer is a disease in which malignant (cancer) cells form in the tissues of the urethra.
                    The urethra is the tube that carries urine from the bladder to outside the body. In women, the urethra is about 1 inches long and is just above the vagina. In men, the urethra is about 8 inches long, and goes through the prostate gland and the penis to the outside of the body. In men, the urethra also carries semen.     Urethral cancer is a rare cancer that occurs more often in men than in women.
                
                
                    There are different types of urethral cancer that begin in cells that line the urethra.
                    These cancers are named for the types of cells that become malignant (cancer):         -  Squamous cell carcinoma is the most common type of urethral cancer. It forms in cells in the part of the urethra near the bladder in women, and in the lining of the urethra in the penis in men.    -  Transitional cell carcinoma forms in the area near the urethral opening in women, and in the part of the urethra that goes through the prostate gland in men.    -  Adenocarcinoma forms in the glands that are around the urethra in both men and women.         Urethral cancer can metastasize (spread) quickly to tissues around the urethra and is often found in nearby lymph nodes by the time it is diagnosed.
                
                
                    A history of bladder cancer can affect the risk of urethral cancer.
                    Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Risk factors for urethral cancer include the following:         - Having a history of bladder cancer.     - Having conditions that cause chronic inflammation in the urethra, including:               - Sexually transmitted diseases (STDs), including human papillomavirus (HPV), especially HPV type 16.      - Frequent urinary tract infections (UTIs).",CancerGov,Urethral Cancer
What causes Urinary Incontinence in Men ?,"Urinary incontinence in men results when the brain does not properly signal the bladder, the sphincters do not squeeze strongly enough, or both. The bladder muscle may contract too much or not enough because of a problem with the muscle itself or the nerves controlling the bladder muscle. Damage to the sphincter muscles themselves or the nerves controlling these muscles can result in poor sphincter function. These problems can range from simple to complex.
                
A man may have factors that increase his chances of developing UI, including
                
- birth defectsproblems with development of the urinary tract  - a history of prostate cancersurgery or radiation treatment for prostate cancer can lead to temporary or permanent UI in men
                
UI is not a disease. Instead, it can be a symptom of certain conditions or the result of particular events during a mans life. Conditions or events that may increase a mans chance of developing UI include
                
- benign prostatic hyperplasia (BPH)a condition in which the prostate is enlarged yet not cancerous. In men with BPH, the enlarged prostate presses against and pinches the urethra. The bladder wall becomes thicker. Eventually, the bladder may weaken and lose the ability to empty, leaving some urine in the bladder. The narrowing of the urethra and incomplete emptying of the bladder can lead to UI.  - chronic coughinglong-lasting coughing increases pressure on the bladder and pelvic floor muscles.  - neurological problemsmen with diseases or conditions that affect the brain and spine may have trouble controlling urination.  - physical inactivitydecreased activity can increase a mans weight and contribute to muscle weakness.  - obesityextra weight can put pressure on the bladder, causing a need to urinate before the bladder is full.  - older agebladder muscles can weaken over time, leading to a decrease in the bladders capacity to store urine.
                
More information is provided in the NIDDK health topics, Nerve Disease and Bladder Control and Prostate Enlargement: Benign Prostatic Hyperplasia.",NIDDK,Urinary Incontinence in Men
What to do for Urinary Retention ?,"Researchers have not found that eating, diet, and nutrition play a role in causing or preventing urinary retention.",NIDDK,Urinary Retention
What are the treatments for Urinary Tract Infection In Adults ?,"Most UTIs are caused by bacteria, which are treated with bacteria-fighting medications called antibiotics or antimicrobials. The choice of medication and length of treatment depend on the patients history and the type of bacteria causing the infection. Some antibiotics may be ruled out if a person has allergies to them. The sensitivity test takes 48 hours to complete and is especially useful in helping the health care provider select the antibiotic most likely to be effective in treating an infection. Longer treatment may be needed if the first antibiotic given is not effective.
                
When a UTI occurs in a healthy person with a normal, unobstructed urinary tract, the term uncomplicated is used to describe the infection. Most young women who have UTIs have uncomplicated UTIs, which can be cured with 2 or 3 days of treatment. Single-dose treatment is less effective. Longer treatment causes more side effects and is not more effective. A follow-up urinalysis helps to confirm the urinary tract is infection-free. Taking the full course of treatment is important because symptoms may disappear before the infection is fully cleared.
                
Complicated UTIs occur when a personfor example, a pregnant woman or a transplant patientis weakened by another condition. A UTI is also complicated when the person has a structural or functional abnormality of the urinary tract, such as an obstructive kidney stone or prostate enlargement that squeezes the urethra. Health care providers should assume that men and boys have a complicated UTI until proven otherwise.
                
Severely ill patients with kidney infections may be hospitalized until they can take fluids and needed medications on their own. Kidney infections may require several weeks of antibiotic treatment. Kidney infections in adults rarely lead to kidney damage or kidney failure unless they go untreated or are associated with urinary tract obstruction.
                
Bladder infections are generally self-limiting, but antibiotic treatment significantly shortens the duration of symptoms. People usually feel better within a day or two of treatment. Symptoms of kidney and prostate infections last longer. Drinking lots of fluids and urinating frequently will speed healing. If needed, various medications are available to relieve the pain of a UTI. A heating pad on the back or abdomen may also help.
                
Recurrent Infections in Women
                
Health care providers may advise women who have recurrent UTIs to try one of the following treatment options:
                
- Take low doses of the prescribed antibiotic daily for 6 months or longer. If taken at bedtime, the medication remains in the bladder longer and may be more effective. NIH-supported research has shown this therapy to be effective without causing serious side effects.  - Take a single dose of an antibiotic after sexual intercourse.  - Take a short course2 or 3 daysof an antibiotic when symptoms appear.
                
To try to prevent an infection, health care providers may suggest women
                
- drink plenty of water every day  - urinate when the need arises and avoid resisting the urge to urinate  - urinate after sexual intercourse  - switch to a different method of birth control if recurring UTIs are a problem
                
Infections during Pregnancy
                
During pregnancy, bacterial infection of the urineeven in the absence of symptomscan pose risks to both the mother and the baby. Some antibiotics are not safe to take during pregnancy. In selecting the best treatments, health care providers consider various factors such as the medications effectiveness, the stage of pregnancy, the mothers health, and potential effects on the fetus.
                
Complicated Infections
                
Curing infections that stem from a urinary obstruction or other systemic disorder depends on finding and correcting the underlying problem, sometimes with surgery. If the root cause goes untreated, this group of patients is at risk for kidney damage. Also, such infections tend to arise from a wider range of bacteria and sometimes from more than one type of bacteria at a time.
                
Infections in Men
                
Urinary tract infections in men are often the result of an obstructionfor example, a urinary stone or enlarged prostateor are from a catheter used during a medical procedure. The first step in treating such an infection is to identify the infecting organism and the medications to which it is sensitive.
                
Prostate infectionschronic bacterial prostatitisare harder to cure because antibiotics may be unable to penetrate infected prostate tissue effectively. For this reason, men with bacterial prostatitis often need long-term treatment with a carefully selected antibiotic. UTIs in men are frequently associated with acute bacterial prostatitis, which can be life threatening if not treated urgently.",NIDDK,Urinary Tract Infection In Adults
